Station Date      Time   Pred6  Backup Acoustc
8518750 20121029 00:00    1.59    4.68    4.65
8518750 20121029 00:06    1.50    4.55    4.54
8518750 20121029 00:12    1.40    4.46    4.44
8518750 20121029 00:18    1.31    4.36    4.33
8518750 20121029 00:24    1.22    4.28    4.26
8518750 20121029 00:30    1.13    4.21    4.18
8518750 20121029 00:36    1.04    4.15    4.12
8518750 20121029 00:42    0.95    4.08    4.06
8518750 20121029 00:48    0.87    3.99    3.97
8518750 20121029 00:54    0.78    3.92    3.89
8518750 20121029 01:00    0.70    3.87    3.85
8518750 20121029 01:06    0.62    3.86    3.83
8518750 20121029 01:12    0.55    3.80    3.78
8518750 20121029 01:18    0.48    3.74    3.73
8518750 20121029 01:24    0.41    3.68    3.66
8518750 20121029 01:30    0.34    3.63    3.62
8518750 20121029 01:36    0.28    3.59    3.58
8518750 20121029 01:42    0.23    3.55    3.53
8518750 20121029 01:48    0.18    3.50    3.48
8518750 20121029 01:54    0.14    3.45    3.42
8518750 20121029 02:00    0.10    3.39    3.35
8518750 20121029 02:06    0.08    3.37    3.34
8518750 20121029 02:12    0.06    3.33    3.31
8518750 20121029 02:18    0.05    3.31    3.30
8518750 20121029 02:24    0.05    3.29    3.26
8518750 20121029 02:30    0.06    3.25    3.22
8518750 20121029 02:36    0.08    3.21    3.19
8518750 20121029 02:42    0.11    3.19    3.17
8518750 20121029 02:48    0.14    3.19    3.17
8518750 20121029 02:54    0.19    3.20    3.18
8518750 20121029 03:00    0.25    3.23    3.23
8518750 20121029 03:06    0.31    3.29    3.26
8518750 20121029 03:12    0.39    3.31    3.29
8518750 20121029 03:18    0.47    3.34    3.32
8518750 20121029 03:24    0.56    3.39    3.37
8518750 20121029 03:30    0.66    3.44    3.41
8518750 20121029 03:36    0.76    3.49    3.46
8518750 20121029 03:42    0.87    3.57    3.54
8518750 20121029 03:48    0.98    3.67    3.65
8518750 20121029 03:54    1.10    3.78    3.76
8518750 20121029 04:00    1.22    3.87    3.85
8518750 20121029 04:06    1.35    3.96    3.95
8518750 20121029 04:12    1.48    4.09    4.06
8518750 20121029 04:18    1.61    4.19    4.18
8518750 20121029 04:24    1.74    4.36    4.33
8518750 20121029 04:30    1.88    4.49    4.46
8518750 20121029 04:36    2.01    4.59    4.57
8518750 20121029 04:42    2.15    4.68    4.66
8518750 20121029 04:48    2.28    4.79    4.77
8518750 20121029 04:54    2.41    4.90    4.88
8518750 20121029 05:00    2.55    5.01    4.98
8518750 20121029 05:06    2.68    5.12    5.11
8518750 20121029 05:12    2.81    5.26    5.24
8518750 20121029 05:18    2.94    5.38    5.35
8518750 20121029 05:24    3.06    5.52    5.50
8518750 20121029 05:30    3.19    5.69    5.67
8518750 20121029 05:36    3.31    5.84    5.83
8518750 20121029 05:42    3.43    5.97    5.96
8518750 20121029 05:48    3.55    6.13    6.11
8518750 20121029 05:54    3.66    6.26    6.24
8518750 20121029 06:00    3.78    6.39    6.38
8518750 20121029 06:06    3.89    6.53    6.51
8518750 20121029 06:12    3.99    6.68    6.66
8518750 20121029 06:18    4.10    6.84    6.82
8518750 20121029 06:24    4.20    7.00    6.98
8518750 20121029 06:30    4.30    7.13    7.10
8518750 20121029 06:36    4.39    7.25    7.23
8518750 20121029 06:42    4.48    7.36    7.32
8518750 20121029 06:48    4.57    7.46    7.43
8518750 20121029 06:54    4.66    7.56    7.53
8518750 20121029 07:00    4.73    7.65    7.62
8518750 20121029 07:06    4.81    7.71    7.71
8518750 20121029 07:12    4.89    7.80    7.78
8518750 20121029 07:18    4.95    7.90    7.88
8518750 20121029 07:24    5.02    8.02    7.98
8518750 20121029 07:30    5.08    8.07    8.04
8518750 20121029 07:36    5.13    8.12    8.10
8518750 20121029 07:42    5.18    8.26    8.23
8518750 20121029 07:48    5.23    8.36    8.31
8518750 20121029 07:54    5.27    8.47    8.35
8518750 20121029 08:00    5.30    8.53    8.35
8518750 20121029 08:06    5.33    8.58    8.35
8518750 20121029 08:12    5.35    8.58    8.35
8518750 20121029 08:18    5.37    8.60    8.35
8518750 20121029 08:24    5.38    8.67    8.36
8518750 20121029 08:30    5.38    8.69    8.35
8518750 20121029 08:36    5.38    8.67    8.34
8518750 20121029 08:42    5.37    8.71    8.34
8518750 20121029 08:48    5.36    8.76    8.34
8518750 20121029 08:54    5.34    8.79    8.35
8518750 20121029 09:00    5.31    8.80    8.32
8518750 20121029 09:06    5.28    8.85    8.34
8518750 20121029 09:12    5.24    8.85    8.34
8518750 20121029 09:18    5.19    8.85    8.29
8518750 20121029 09:24    5.13    8.85    8.32
8518750 20121029 09:30    5.07    8.81    8.30
8518750 20121029 09:36    5.00    8.78    8.33
8518750 20121029 09:42    4.93    8.69    8.34
8518750 20121029 09:48    4.85    8.60    8.29
8518750 20121029 09:54    4.76    8.58    8.28
8518750 20121029 10:00    4.67    8.53    8.25
8518750 20121029 10:06    4.57    8.50    8.26
8518750 20121029 10:12    4.47      NA      NA
8518750 20121029 10:18    4.37      NA      NA
8518750 20121029 10:24    4.26      NA      NA
8518750 20121029 10:30    4.15      NA      NA
8518750 20121029 10:36    4.03      NA      NA
8518750 20121029 10:42    3.92    8.10    8.06
8518750 20121029 10:48    3.80    8.05    7.99
8518750 20121029 10:54    3.68    7.94    7.88
8518750 20121029 11:00    3.56    7.83    7.81
8518750 20121029 11:06    3.44    7.77    7.75
8518750 20121029 11:12    3.32    7.68    7.64
8518750 20121029 11:18    3.21    7.56    7.53
8518750 20121029 11:24    3.09    7.45    7.41
8518750 20121029 11:30    2.97    7.33    7.30
8518750 20121029 11:36    2.86    7.22    7.18
8518750 20121029 11:42    2.74    7.09    7.06
8518750 20121029 11:48    2.63    6.96    6.92
8518750 20121029 11:54    2.52    6.84    6.81
8518750 20121029 12:00    2.41    6.77    6.73
8518750 20121029 12:06    2.30    6.65    6.63
8518750 20121029 12:12    2.20    6.58    6.55
8518750 20121029 12:18    2.09    6.50    6.47
8518750 20121029 12:24    1.98    6.44    6.41
8518750 20121029 12:30    1.88    6.33    6.30
8518750 20121029 12:36    1.78    6.24    6.21
8518750 20121029 12:42    1.68    6.16    6.15
8518750 20121029 12:48    1.57    6.10    6.09
8518750 20121029 12:54    1.47    6.02    6.00
8518750 20121029 13:00    1.37    5.91    5.90
8518750 20121029 13:06    1.27    5.87    5.83
8518750 20121029 13:12    1.17    5.79    5.76
8518750 20121029 13:18    1.08    5.69    5.67
8518750 20121029 13:24    0.98    5.61    5.59
8518750 20121029 13:30    0.89    5.55    5.53
8518750 20121029 13:36    0.80    5.46    5.44
8518750 20121029 13:42    0.71    5.42    5.39
8518750 20121029 13:48    0.62    5.37    5.34
8518750 20121029 13:54    0.54    5.33    5.30
8518750 20121029 14:00    0.46    5.30    5.26
8518750 20121029 14:06    0.39    5.27    5.24
8518750 20121029 14:12    0.32    5.26    5.23
8518750 20121029 14:18    0.26      NA    5.20
8518750 20121029 14:24    0.21    5.27    5.24
8518750 20121029 14:30    0.16    5.28    5.25
8518750 20121029 14:36    0.12    5.29    5.27
8518750 20121029 14:42    0.09    5.38    5.35
8518750 20121029 14:48    0.07    5.43    5.40
8518750 20121029 14:54    0.06    5.52    5.50
8518750 20121029 15:00    0.05    5.60    5.58
8518750 20121029 15:06    0.06    5.69    5.69
8518750 20121029 15:12    0.08    5.79    5.77
8518750 20121029 15:18    0.10    5.97    5.97
8518750 20121029 15:24    0.13    6.11    6.10
8518750 20121029 15:30    0.18    6.24    6.21
8518750 20121029 15:36    0.23    6.40    6.36
8518750 20121029 15:42    0.29    6.50    6.46
8518750 20121029 15:48    0.36    6.61    6.56
8518750 20121029 15:54    0.44    6.70    6.67
8518750 20121029 16:00    0.52    6.85    6.82
8518750 20121029 16:06    0.61    7.02    6.97
8518750 20121029 16:12    0.71    7.15    7.09
8518750 20121029 16:18    0.81    7.28    7.23
8518750 20121029 16:24    0.91    7.45    7.40
8518750 20121029 16:30    1.02    7.57    7.51
8518750 20121029 16:36    1.13    7.75    7.70
8518750 20121029 16:42    1.25    7.91    7.87
8518750 20121029 16:48    1.36    8.03    8.00
8518750 20121029 16:54    1.49    8.18    8.14
8518750 20121029 17:00    1.60    8.27    8.23
8518750 20121029 17:06    1.73    8.38    8.30
8518750 20121029 17:12    1.85    8.48    8.33
8518750 20121029 17:18    1.97    8.63    8.32
8518750 20121029 17:24    2.09    8.77    8.33
8518750 20121029 17:30    2.21    8.90    8.31
8518750 20121029 17:36    2.33    9.03    8.32
8518750 20121029 17:42    2.45    9.19    8.29
8518750 20121029 17:48    2.57    9.33    8.31
8518750 20121029 17:54    2.68    9.48    8.30
8518750 20121029 18:00    2.80    9.62    7.85
8518750 20121029 18:06    2.91    9.74    7.83
8518750 20121029 18:12    3.02    9.95    7.07
8518750 20121029 18:18    3.13   10.10    6.10
8518750 20121029 18:24    3.23   10.22    6.09
8518750 20121029 18:30    3.33   10.39    6.11
8518750 20121029 18:36    3.44   10.55    6.11
8518750 20121029 18:42    3.53   10.69    6.12
8518750 20121029 18:48    3.63   10.88    6.60
8518750 20121029 18:54    3.72   11.07    6.91
8518750 20121029 19:00    3.81   11.25    7.27
8518750 20121029 19:06    3.90   11.41    7.16
8518750 20121029 19:12    3.98   11.62    7.07
8518750 20121029 19:18    4.06   11.87    7.31
8518750 20121029 19:24    4.14   12.09    7.06
8518750 20121029 19:30    4.21   12.33    7.06
8518750 20121029 19:36    4.28   12.54    7.24
8518750 20121029 19:42    4.34   12.75    7.13
